frame	time	bmRequestType	bRequest	wValue	wIndex	wLength	dataOUT
9589	15.071885000	0x40	192	0x509c	0	2	0000
9593	15.071992000	0x40	192	0x5066	0	3	9d0155
9595	15.072530000	0xc0	192	0x5066	0	1	
9597	15.073405000	0x40	192	0x509c	0	2	0000
9599	15.073503000	0x40	192	0x509c	0	2	b3ff
9601	15.073993000	0x40	192	0x509c	0	2	0002
9603	15.074481000	0x40	192	0x509c	0	2	27ff
9607	15.075022000	0x40	192	0x509c	0	2	0002
9609	15.075560000	0x40	192	0x5066	0	3	9d0111
9611	15.075998000	0xc0	192	0x5066	0	1	
9613	15.076908000	0x40	192	0x509c	0	2	0002
9615	15.077000000	0x40	192	0x5066	0	3	9d0112
9617	15.077436000	0xc0	192	0x5066	0	1	
9619	15.078344000	0x40	192	0x509c	0	2	0002
9621	15.078432000	0x40	192	0x5066	0	3	9d0112
9625	15.078881000	0xc0	192	0x5066	0	1	
9627	15.079786000	0x40	192	0x509c	0	2	0002
9629	15.079871000	0x40	192	0x5066	0	3	9d0111
9631	15.080335000	0xc0	192	0x5066	0	1	
9633	15.081217000	0x40	192	0x509c	0	2	0002
9635	15.081294000	0x40	192	0x509c	0	2	2000
9637	15.081761000	0x40	192	0x5066	0	3	9b0109
9641	15.082303000	0xc0	192	0x5066	0	1	
9651	15.084602000	0x40	192	0x5066	0	3	9b010e
9653	15.085191000	0xc0	192	0x5066	0	1	
9727	15.190501000	0x40	192	0x5066	0	3	9b010e
9729	15.190598000	0xc0	192	0x5066	0	1	
9733	15.191482000	0x40	192	0x509c	0	2	0000
9735	15.191578000	0x40	192	0x5066	0	3	9d0155
9739	15.192128000	0xc0	192	0x5066	0	1	
9741	15.193015000	0x40	192	0x509c	0	2	0000
9743	15.193080000	0x40	192	0x509c	0	2	b3ff
9745	15.193532000	0x40	192	0x509c	0	2	0002
9747	15.194079000	0x40	192	0x509c	0	2	27ff
9749	15.194605000	0x40	192	0x509c	0	2	0002
9753	15.195139000	0x40	192	0x5066	0	3	9d0111
9755	15.195572000	0xc0	192	0x5066	0	1	
9757	15.196468000	0x40	192	0x509c	0	2	0002
9759	15.196540000	0x40	192	0x5066	0	3	9d0112
9761	15.196985000	0xc0	192	0x5066	0	1	
9763	15.197880000	0x40	192	0x509c	0	2	0002
9765	15.197951000	0x40	192	0x5066	0	3	9d0112
9767	15.198397000	0xc0	192	0x5066	0	1	
9771	15.199296000	0x40	192	0x509c	0	2	0002
9773	15.199376000	0x40	192	0x5066	0	3	9d0111
9775	15.199820000	0xc0	192	0x5066	0	1	
9777	15.200710000	0x40	192	0x509c	0	2	0002
9779	15.200785000	0x40	192	0x509c	0	2	2000
9781	15.201225000	0x40	192	0x5066	0	3	9b0109
9783	15.201771000	0xc0	192	0x5066	0	1	
9795	15.204015000	0x40	192	0x5066	0	3	9b010e
9797	15.204642000	0xc0	192	0x5066	0	1	
9871	15.309648000	0x40	192	0x5066	0	3	9b010e
9873	15.309762000	0xc0	192	0x5066	0	1	
9875	15.310658000	0x40	192	0x509c	0	2	0000
9877	15.310753000	0x40	192	0x5066	0	3	9d0155
9881	15.311310000	0xc0	192	0x5066	0	1	
9885	15.312182000	0x40	192	0x509c	0	2	0000
9887	15.312267000	0x40	192	0x509c	0	2	b3ff
9889	15.312714000	0x40	192	0x509c	0	2	0002
9891	15.313259000	0x40	192	0x509c	0	2	27ff
9893	15.313794000	0x40	192	0x509c	0	2	0002
9895	15.314335000	0x40	192	0x5066	0	3	9d0111
9897	15.314769000	0xc0	192	0x5066	0	1	
9901	15.315655000	0x40	192	0x509c	0	2	0002
9903	15.315738000	0x40	192	0x5066	0	3	9d0112
9905	15.316193000	0xc0	192	0x5066	0	1	
9907	15.317074000	0x40	192	0x509c	0	2	0002
9909	15.317153000	0x40	192	0x5066	0	3	9d0112
9911	15.317612000	0xc0	192	0x5066	0	1	
9913	15.318493000	0x40	192	0x509c	0	2	0002
9915	15.318573000	0x40	192	0x5066	0	3	9d0111
9919	15.319018000	0xc0	192	0x5066	0	1	
9921	15.319904000	0x40	192	0x509c	0	2	0002
9923	15.319983000	0x40	192	0x509c	0	2	2000
9925	15.320459000	0x40	192	0x5066	0	3	9b0109
9927	15.320994000	0xc0	192	0x5066	0	1	
9939	15.323238000	0x40	192	0x5066	0	3	9b010e
9941	15.323857000	0xc0	192	0x5066	0	1	
10017	15.431400000	0x40	192	0x5066	0	3	9b010e
10019	15.431500000	0xc0	192	0x5066	0	1	
10023	15.432393000	0x40	192	0x509c	0	2	0000
10025	15.432487000	0x40	192	0x5066	0	3	9d0155
10027	15.433048000	0xc0	192	0x5066	0	1	
10029	15.433922000	0x40	192	0x509c	0	2	0000
10031	15.434003000	0x40	192	0x509c	0	2	b3ff
10033	15.434470000	0x40	192	0x509c	0	2	0002
10037	15.434984000	0x40	192	0x509c	0	2	27ff
10039	15.435545000	0x40	192	0x509c	0	2	0002
10041	15.436081000	0x40	192	0x5066	0	3	9d0111
10043	15.436544000	0xc0	192	0x5066	0	1	
10045	15.437411000	0x40	192	0x509c	0	2	0002
10047	15.437504000	0x40	192	0x5066	0	3	9d0112
10049	15.437967000	0xc0	192	0x5066	0	1	
10053	15.438904000	0x40	192	0x509c	0	2	0002
10055	15.438988000	0x40	192	0x5066	0	3	9d0112
10057	15.439453000	0xc0	192	0x5066	0	1	
10059	15.440339000	0x40	192	0x509c	0	2	0002
10061	15.440429000	0x40	192	0x5066	0	3	9d0111
10063	15.440877000	0xc0	192	0x5066	0	1	
10065	15.441758000	0x40	192	0x509c	0	2	0002
10067	15.441833000	0x40	192	0x509c	0	2	2000
10071	15.442287000	0x40	192	0x5066	0	3	9b0109
10075	15.442851000	0xc0	192	0x5066	0	1	
10083	15.445052000	0x40	192	0x5066	0	3	9b010e
10085	15.445679000	0xc0	192	0x5066	0	1	
10163	15.552852000	0x40	192	0x5066	0	3	9b010e
10165	15.552958000	0xc0	192	0x5066	0	1	
10167	15.553832000	0x40	192	0x509c	0	2	0000
10169	15.553924000	0x40	192	0x5066	0	3	9d0155
10171	15.554469000	0xc0	192	0x5066	0	1	
10175	15.555347000	0x40	192	0x509c	0	2	0000
10177	15.555444000	0x40	192	0x509c	0	2	b3ff
10179	15.555880000	0x40	192	0x509c	0	2	0002
10181	15.556434000	0x40	192	0x509c	0	2	27ff
